D & B Used Cars|111 Old Benbrook Rd, Dallas, TX 45137|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
1|2024|Bentley|Flying Spur|Sedan|Black|10000|220000.00
2|2023|Rolls-Royce|Ghost|Sedan|White|22541|338850.00
3|2022|Maybach|S-Class|Sedan|Black|15873|189900.00
4|2024|Lexus|LS 500h|Sedan|Silver|8512|108000.00
5|2023|BMW|7 Series|Sedan|Black|28145|93400.00
6|2022|Audi|A8|Sedan|Blue|35789|86700.00
7|2024|Mercedes-Benz|S-Class Maybach|Sedan|Brown|7921|215000.00
8|2023|Range Rover|Autobiography|SUV|Green|12450|157000.00
9|2022|Land Rover|Defender 110|SUV|Beige|20143|83800.00
10|2024|Porsche|Cayenne Turbo GT|SUV|White|5218|180100.00
11|2024|Aston Martin|DBX707|SUV|Black|7842|209000.00
12|2023|Maserati|Levante Trofeo|SUV|Black|18254|168000.00
13|2022|Lamborghini|Urus|SUV|Red|25140|250000.00
14|2024|Ferrari|Purosangue|SUV|Green|3872|335000.00
15|2023|Bentley|Bentayga Speed|SUV|Green|14587|201500.00
16|2022|Rolls-Royce|Cullinan|SUV|Black|22143|327850.00
17|2024|Maybach|GLS 600 4MATIC|SUV|Silver|9821|172900.00
18|2023|Lexus|LX 600|SUV|Silver|11245|106000.00
19|2022|BMW|X7 M50i|SUV|Yellow|23489|120300.00
20|2024|Audi|Q8** RS**|SUV|Black|6528|121500.00
1000001|2022|Bentley|Continental GT|Coupe|Blue|32500|148900.00
1000002|2021|Rolls-Royce|Wraith|Coupe|Black|18721|285400.00
1000003|2020|Maybach|S580|Sedan|Black|45892|127500.00
1000004|2023|Lexus|LC 500|Coupe|Silver|27148|89200.00
1000005|2022|BMW|8 Series Gran Coupe|Coupe|Black|41235|7900.00
1000006|2021|Audi|RS7 |Sportback|Grey|52871|72100.00
1000007|2020|Mercedes-Benz|E-Class Cabriolet|Convertible|Blue|38412|65700.00
1000008|2023|Range Rover|Velar SVA|SUV|Red|29817|82300.00
1000009|2022|Land Rover|Range Rover Sport HSE|SUV|Yellow|48524|75400.00
1000010|2021|Porsche|Macan GTS|SUV|Black|35210|79800.00
